location,size,total_sqft,bath,price,bhk,price_per_sqft
Electronic City Phase II,2 BHK,2.0,2.0,39.07,2,1953500.0
Chikka Tirupathi,4 Bedroom,2.0,5.0,120.0,4,6000000.0
Uttarahalli,3 BHK,2.0,2.0,62.0,3,3100000.0
Lingadheeranahalli,3 BHK,2.0,3.0,95.0,3,4750000.0
Kothanur,2 BHK,2.0,2.0,51.0,2,2550000.0
Whitefield,2 BHK,2.0,2.0,38.0,2,1900000.0
Old Airport Road,4 BHK,2.0,4.0,204.0,4,10200000.0
Rajaji Nagar,4 BHK,2.0,4.0,600.0,4,30000000.0
Marathahalli,3 BHK,2.0,3.0,63.25,3,3162500.0
Gandhi Bazar,6 Bedroom,2.0,6.0,370.0,6,18500000.0
Whitefield,3 BHK,2.0,2.0,70.0,3,3500000.0
Whitefield,4 Bedroom,2.0,5.0,295.0,4,14750000.0
7th Phase JP Nagar,2 BHK,2.0,2.0,38.0,2,1900000.0
Gottigere,2 BHK,2.0,2.0,40.0,2,2000000.0
Sarjapur,3 Bedroom,2.0,3.0,148.0,3,7400000.0
Mysore Road,2 BHK,2.0,2.0,73.5,2,3675000.0
Bisuvanahalli,3 BHK,2.0,3.0,48.0,3,2400000.0
Raja Rajeshwari Nagar,3 BHK,2.0,3.0,60.0,3,3000000.0
Ramakrishnappa Layout,3 BHK,2.0,4.0,290.0,3,14500000.0
Manayata Tech Park,2 BHK,2.0,2.0,48.0,2,2400000.0
Kengeri,1 BHK,2.0,1.0,15.0,1,750000.0
Binny Pete,3 BHK,2.0,3.0,122.0,3,6100000.0
Thanisandra,4 Bedroom,2.0,5.0,380.0,4,19000000.0
Bellandur,3 BHK,2.0,3.0,103.0,3,5150000.0
 Thanisandra,1 RK,2.0,1.0,25.25,1,1262500.0
Mangammanapalya,3 BHK,2.0,3.0,56.0,3,2800000.0
Electronic City,2 BHK,2.0,1.0,23.1,2,1155000.0
Whitefield,3 BHK,2.0,3.0,81.0,3,4050000.0
Ramagondanahalli,2 BHK,2.0,2.0,48.77,2,2438500.0
Electronic City,3 BHK,2.0,2.0,47.0,3,2350000.0
Yelahanka,4 BHK,2475.0,4.0,186.0,4,7515.151515151515
Bisuvanahalli,3 BHK,2.0,2.0,35.0,3,1750000.0
Hebbal,3 BHK,2.0,2.0,123.0,3,6150000.0
Raja Rajeshwari Nagar,3 BHK,2.0,3.0,57.39,3,2869500.0
Kasturi Nagar,3 BHK,2.0,3.0,125.0,3,6250000.0
Kanakpura Road,2 BHK,2.0,2.0,36.0,2,1800000.0
Electronics City Phase 1,2 BHK,2.0,2.0,45.5,2,2275000.0
Kundalahalli,3 BHK,2.0,3.0,125.0,3,6250000.0
Chikkalasandra,3 BHK,2.0,2.0,56.12,3,2806000.0
Uttarahalli,2 BHK,2.0,2.0,45.0,2,2250000.0
Murugeshpalya,2 BHK,2.0,2.0,81.0,2,4050000.0
Sarjapur  Road,3 BHK,2.0,3.0,38.0,3,1900000.0
Ganga Nagar,1 BHK,2.0,1.0,38.0,1,1900000.0
Yelahanka,1 Bedroom,2.0,1.0,48.0,1,2400000.0
Kanakpura Road,2 BHK,2.0,2.0,91.79,2,4589500.0
HSR Layout,8 Bedroom,2.0,9.0,200.0,8,10000000.0
Doddathoguru,2 BHK,2.0,2.0,33.0,2,1650000.0
